Category,2025-08-01,2025-08-01,2025-08-01,2025-08-01,2025-09-01,2025-09-01,2025-09-01,2025-09-01,2025-10-01,2025-10-01,2025-10-01,2025-10-01,2025-10-01,2025-11-01,2025-11-01,2025-11-01,2025-11-01,2025-12-01,2025-12-01,2025-12-01,2025-12-01,2025-01-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01
VAT Refund,,,,,50000,,,,,,,,,50000,,,, ,,,,,50000,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Retentions,,,,,,,,,,,,,,,,,,,,,,,,,,
"Townlink Bakers Yard - 01-4627131 Pamela, pamela.malone@townlink.ie. David Caulfield",,,,,,,,,,,,,,,,,,,,,,,,,,
"BAM - Lime Street, Michael O'Hea",,,,,,,,,,,,,,,,,,,,,,,,,,
Townlink Bon Secours = Pamela,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 24 + OHLA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Jobs,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials payments to suppliers,,,,,-19000,,,,-41000,,,,,-35000,,,,-23000,,,,,,-41000,,
Income ,,,,,85000,,,,85000,,,,70000,,,,70000,,,,80000,,,,,30000
Collen Affidea Portlaois,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour income,,,,,,,,,,,,,,,,,,,,,,,,,,
Material income,,,,,,,,,,,,,,,,,,,,,,,,,,
Material income Lead,,,,,,,,,,,,,,,,,,,,,,,,,,
Material payment boards and metal,,,,,,,,,,,,,,,,,,,,,,,,,,
Material payment lead Tradecraft,,,,,,,,,,,,,,,,,,,,,,,,,,
Walls Merville Income Materials,,,,,,,,,,,,,,,,,,,,,,,, ,,
Walls Merville Income Valuations, ,,,,360000,,,,,50000,,,,140000,,,,,,, , , , ,,
Walls Beach Road Apartments - Alan McGrath,,,,,,,,,,,,,,,,,,,,,,,, ,,
Walls Beach Road = Water Damage level 5 = T&M,,,,,,,,,,,,,,,,,,,,,,,, ,,
Walls Beach Road Soffit install,,,,,,,,,,,,,,,,,,,,,,,, ,,
Walls Beach Road SFS,,,,,,,,,,,,,,,,,,,,,,,, ,,
Walls Beach Rd variations level 5 and tapers,,,,,,,,,,,,,,,,,,,,,,,, ,,
Townlink - St Finbars Cabra - Mesh,,,,,,,,,,,,,,,,,,,,,,,,,,
Townlink - St Finbars Cabra - Sand and Cement and external Skim,,,,,,,,,,,,,,,,,,,,,,,,,,
"Townlink - St Finbars Cabra - Drylining, Ceilings, BWICS, internal skim",,,,,,,,,,,,,,,,,,,,,,,,,,
Townlink - St Finbars Cabra -Fire rated ceiling,,,,,,,,,,,,,,,,,,,,,,,,,,
Townlink Mike Barnett - Pamela Malone = Townlink Income,,,,,32225,,, ,,,,,,,,,,,,,,,,,,
